nama_outlet|nomor_XL|alamat|kecamatan|member/cvs|no_cvs|sd|site
ABUJAN CELL|087785473619|KOMP.BMW S1 C1 NO.51 DS.MAJA BARU KEC.MA,,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
TGRKS-IKE CEL|087771586416|JL. RAYA CISOKA ADIYASA TAMAN ADIYASA BLOK J 18/20,PERMANEN,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-IIP CELL|087771586362|JL. RAYA MUNJUL KP. MUNJUL RT 06/04 ,PERMANEN,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
CSK-HAKIM CELL|087771583196|JL. RAYA CISOKA KP. SAGA RT 004/002,PERMANENT ,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
INTAN CELL|087771561594|KP. DESA JENGJING RT 02/01 KEC. CISOKA ,PERMANENT ,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-SHM CELL|087771561446|DS. MUNJUL KEC. SOLEAR RT 04/04,PERMANEN,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
FAJRIN CELL|087771561215|JL. RAYA CISOKA ADI YASA KP. PASANGGRAHAN RT 01/02,PERMANEN ,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-WAHYU DIAN CELL|087771465878|JL. RAYA KRONJO JENGGOT RT 04/04,PERMANEN,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
NASUTION CELL|087771465833|JL.TAMAN ADIYASA RUKO B.F 8 RT 01/08 KEL. CIKASUNGKA ,PERMANEN,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
TGR2-LUKMAN3 CELL|087771460400|KP. PINANG RT 02/09 KEC. TIGARAKSA,PERMANENT,kab. tangerang|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-TASYA CELL|085921263590|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
VIRGIN 2|085921263581|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
REFI CELL|085921263443|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-AMAR CELL|085921261425|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-FANNY CELL|085921261404|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
FIKRI CELL|085921261396|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-WIDA CELL|085921261395|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-ALFIN CELL|085921261393|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
IKBAL CELL|085921261381|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
BERKAH CELL|085921261379|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
ANFA CELL|085921261376|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
CSK-ZULFA CELL|085921261355|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-EGY CELL|085921261327|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-DIVA CELL|085921261317|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
FINDESTA 1 CELL|085921261297|KP JENGKOL,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-ZAHARA CELL|085921261294|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
RIZKY CELL|085921261293|KP MUNJUL TEGAL,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-BINTANG CELL|085921261292|KP MUNJUL TEGAL,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
FANDI CELL|085921261281|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-AL BAROKAH CELL|085921261262|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-WILDAN CELL|085921261260|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-AD CELL|085921261259|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-ANGIN CELL|085921261243|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
TIA CELL|085921261210|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
STAR CELL|085921260566|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-IPING CELL|085921260564|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
GRAFIS CELL|085921260561|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-PONDOK MAMPIR CELL|085921260556|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-IDQ CELL|085921260554|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
NENG CELL|085921260287|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
EBENK CELL|085921260280|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-AMANG CELL|085920072229|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
YATI CELL|085920072221|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
TGRKS-ANGGI CELL|085920072193|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-NUBI CELL|085920072178|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
CSK-VIRA CELL|085920072145|Kp bojong loa rt 06/03,,Tangerang|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-FINDESTA 1|081908330254|JL. RAYA TAMAN ADIYASA BLOK F.8 KOMP RUKO RT 01/08,NA,ITANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-CIKASUNGKA CELL|081908330060|STATION TIGARAKSA BLOK A KEL.CILAME SMPG WARTEG DAN WARTEL,PERMANEN,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
CSK-IMRON CELL|081908247865|JL. RAYA CISOKA ADIYASA RT 02/05 KP. BUNAR,PERMANEN,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
ECA CELL|081908240274|JL.MEGU CEMPAKA KP.SECANG RT003/06 KEL.CEMPAKA,PERMANEN,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
CSK-HONGKONG CELL|081906399184|JL. RAYA ADIYASA KP. JENGKOL RT 06/01,PERMANEN ,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-DAYAT CELL|081906398599|DS. KRONJO RT 005/003,PERMANEN ,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
ANDIKA CELL|081906398532|KP. TUBU DS. PASANGGRAHAN ,PERMANEN ,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-FINDESTA 2|081806610017|,,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-KALAM CELL|08176095563|JL.RAYA CISOKA TAMAN ADIYASA SUKATANI CISOKA RT 02/03,NA,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
TGRKS-RIZKY JAYA CELL|08176040425|JL.KP.BANTAR PANJANG RT 4/5 DS.CILELES,PERMANEN,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
ADDA PULSA|087871450761|,,|CIKUPA|ADDA PULSA||085921261200|cikupa
MENTARI|087887721282|JL. RAYA KRONJO KP. PASILIYAN LAMA KEC. KRONJO,PERMANENT,TANGERANG|KRONJO|AGUNG|087776458333|085921261415|cikupa
TGR1-ERDITA CELL|087880294625|JL.RAYA SERANG KM 19,5 KP.PASIR KALONG RT 05/01,PERMANEN,TANGERANG|TIGARAKSA|AGUNG|087776458333|085921261415|cikupa
DEA CELL|087880291687|JL. RAYA KRONJO RT 04/02,JALAN PELELANGAN IKAN,PERMANEN,tangerang|KRESEK|AGUNG|087776458333|085921261415|cikupa
SUSUT|087880291682|JL. RAYA KRESEK - KRONJO DS.GANDARIA RT002/03,PERMANEN,TANGERANG|MEKAR BARU|AGUNG|087776458333|085921261415|cikupa
GNK-ABATA CELL|087880276714|KP. BOLANG DS. RANCA GEDE RT 09/02 GNK ,PERMANENT,TANGERANG|KRESEK|AGUNG|087776458333|085921261415|cikupa
TGR1-SHERA CELL|087878929188|JLN. RAYA SERANG KM. 21.5/ KAWIDARAN ,PERMANEN,kab. tangerang|TIGARAKSA|AGUNG|087776458333|085921261415|cikupa
KRJ.ANY CELL|087878929187|,,kab. tangerang|KRONJO|AGUNG|087776458333|085921261415|cikupa
KRJ.GEMILANG CELL|087878632328|JL.RAYA KRONJO JENGGOT RT 05/02,PERMANEN,TANGERANG|KRONJO|AGUNG|087776458333|085921261415|cikupa
TGR-AQIFA CELL|087878305401|,,kab. tangerang|TIGARAKSA|AGUNG|087776458333|085921261415|cikupa
CKP_ ORI CALL|087815870495|kp kadu rt009/004 sukamulya,,TANGERANG|KRESEK|AGUNG|087776458333|085921261415|cikupa
CKP_RIRI CELL|087815870492|kp bojong rt002/003 bojong cikupa,,TANGERANG|KRONJO|AGUNG|087776458333|085921261415|cikupa
ARIS CELL|087815870489|KP KIARA RT 007/009,,TANGERANG|KRESEK|AGUNG|087776458333|085921261415|cikupa
YA YAH CELL|087815870488|KP POS SENTUL RT 002/009 SENTUL JSYA BAL,,TANGERANG|KRESEK|AGUNG|087776458333|085921261415|cikupa
ISMI CELL|087815870486|JL RAYA KRESEK KM 3 SENTIONG,,TANGERANG|KRONJO|AGUNG|087776458333|085921261415|cikupa
DINDA CELL|087785470477|PERUM SURYA KENCANA,,TANGERANG|KRESEK|AGUNG|087776458333|085921261415|cikupa
NIDA CELL|087785470476|JL RAYA SERANG KM 24 NO 88A DS TELAGA SA,,TANGERANG|MEKAR BARU|AGUNG|087776458333|085921261415|cikupa
KIOS PULSA|087785470474|KP KIARA RT 007/003 KEC BALARAJA KAB TAN,,TANGERANG|KRESEK|AGUNG|087776458333|085921261415|cikupa
LARIS CELL|087785470472|JL RY SERANG KM 26 POS SENTUL BALARAJA K,,TANGERANG|KRONJO|AGUNG|087776458333|085921261415|cikupa
LANCAR CELL|087785470471|KP AGENDA 008/0005 KEC BALARAJA KAB TANG,,TANGERANG|KRONJO|AGUNG|087776458333|085921261415|cikupa
GNK-DANA CELL|087771583397|KP. KANDAWATI DS. KANDAWATI RT 07/02 KEC. GUNUNG KALER,PERMANENT,TANGERANG|MEKAR BARU|AGUNG|087776458333|085921261415|cikupa
SJA CELL|087771561819|KP. PAGENJAHAN RT 01/03 KEC. KRONJO ,PERMANEN,TANGERANG|MEKAR BARU|AGUNG|087776458333|085921261415|cikupa
SASYI CELL|087771561587|KP. KRONJO PAGEDANGAN ILIR RT 01/01 ,PERMANEN,TANGERANG|KRONJO|AGUNG|087776458333|085921261415|cikupa
TGR1-WAJHA CELL|087771561169|JL. RAYA CISOKA TIGARAKSA KP. NAGREK RT 02/01,PERMANEN ,kab. tangerang|TIGARAKSA|AGUNG|087776458333|085921261415|cikupa
AGLOW CELL|087771465869|JL. RAYA KRONJO PASAR LAMA RT 05/02,DEPAN BTS INDOSAT KRONJO,PERMANEN,TANGERANG|KRONJO|AGUNG|087776458333|085921261415|cikupa
A CELL|087771250329|JL.RAYA KRONJO PASAR CAYUR RT 05/01,PERMANEN,kab. tangerang|KRONJO|AGUNG|087776458333|085921261415|cikupa
M2 CELL|087771011029|JLN. RAYA KRESEK KRONJO RT 010/03 KEC. KRESEK,PERMANEN,kab. TANGERANG|KRESEK|AGUNG|087776458333|085921261415|cikupa
KRS-HALWAT CELL|087771010941|KP. AL-FALAH JL. REGAS TALOK RT 004/002 KEC. KRESEK,PERMANENT,kab. tangerang|KRONJO|AGUNG|087776458333|085921261415|cikupa
GNK-EWONG CELL|085921263601|,,|KRESEK|AGUNG|087776458333|085921261415|cikupa
CKP MANDALA CELL|085921263450|KP.KAWIDARAN DS.CIBADAK,SMALL,Kab. tangerang|TIGARAKSA|AGUNG|087776458333|085921261415|cikupa
KRJ MUTIA CELL|085921263205|,,|MEKAR BARU|AGUNG|087776458333|085921261415|cikupa
KRJ_WANDI CELL|085921263203|,,|KRESEK|AGUNG|087776458333|085921261415|cikupa
SUSI CELL|085921263197|,,|SUKAMULYA|AGUNG|087776458333|085921261415|cikupa
SKM-UUS CELL|085921263193|,,|SUKAMULYA|AGUNG|087776458333|085921261415|cikupa
AL GARIA CELL|085921263162|,,|MEKAR BARU|AGUNG|087776458333|085921261415|cikupa
MKB_JN CELL|085921263155|,,|MEKAR BARU|AGUNG|087776458333|085921261415|cikupa
ARKA1 CELL|085921260549|,,|TIGARAKSA|AGUNG|087776458333|085921261415|cikupa
TGR-MAURA CELL|085921260310|,,|TIGARAKSA|AGUNG|087776458333|085921261415|cikupa
BOIM CELL|085921260274|,,|KRONJO|AGUNG|087776458333|085921261415|cikupa
SKM-DEDE CELL|085920072197|jln ry serang km 24,,kab. tangerang|KRONJO|AGUNG|087776458333|085921261415|cikupa
SATRIA CELL|085920072184|,,|KRONJO|AGUNG|087776458333|085921261415|cikupa
KRJ.YASER CELL|085920072163|Kp Pagedangan ilir Rt 02/04,,|KRONJO|AGUNG|087776458333|085921261415|cikupa
KRJ-ACEW CELL|085920072111|,,|KRONJO|AGUNG|087776458333|085921261415|cikupa
GNK-SUPRI CELL|081908249469|KP. BENDUNG DS. RANCACANG RT 004/002,PERMANEN,TANGERANG|KRONJO|AGUNG|087776458333|085921261415|cikupa
RIZKI CELL|081908244477|JL.RAYA KRESEK TANJAKAN RT 04/02,ALIRAN SUNGAI PATRASNA,SEMI PERMANEN,TANGERANG|KRONJO|AGUNG|087776458333|085921261415|cikupa
-ALBAROKAH CELL|081908244230|JL.RAYA KRESEK KP.PASIR AMPO RT05/02 KEL.PASIR AMPO,PERMANEN,TANGERANG|KRESEK|AGUNG|087776458333|085921261415|cikupa
GNK-46 CELL|081908243558|JL.RAYA KRESEK KEDUNG RT 05/02 SAMPING JMBTN KEDUNG,PERMANEN,TANGERANG|KRONJO|AGUNG|087776458333|085921261415|cikupa
KRJ.NURE CELL|081908241327|KP.PEKAPURAN RT004/04 DS.KRONJO,PERMANEN,TANGERANG|KRESEK|AGUNG|087776458333|085921261415|cikupa
KRS-DENI CELL|081906398986|JL. SHEKH NAWAWI GUNUNG KALER KP. NAMBO RT 011/002,PERMANEN ,TANGERANG|KRESEK|AGUNG|087776458333|085921261415|cikupa
SKM -AJAY CELL|081806613120|kp parahu kec sukamulya,,TANGERANG|SUKAMULYA|AGUNG|087776458333|085921261415|cikupa
V3 CELL|081806613115|KP.KRESEK KEC.KRESEK,,TANGERANG|KRESEK|AGUNG|087776458333|085921261415|cikupa
KRJ.RIA CELL|081806610066|,,|KRONJO|AGUNG|087776458333|085921261415|cikupa
BSD CELL|081806610018|,,|KRONJO|AGUNG|087776458333|085921261415|cikupa
SKM-FARIZZZ SELON|081806610013|,,|KRONJO|AGUNG|087776458333|085921261415|cikupa
TGR1-RIYAN CELL|08170748556|KP. KAWIDARAN RT 19/04,PERMANENT ,kab. tangerang|CISOKA|AGUNG|087776458333|085921261415|cikupa
AHA RELOAD|087880291735|DS. JATIWARINGIN RT 02/01 MAUK,PERMANEN,kab. TANGERANG|CIKUPA|AHA RELOAD||085921261200|cikupa
AHA RELOAD|08176040477|JL. RAYA MAUK  KM 16 PS.JATI DS.JATIWARINGIN MAUK,PERMANEN,kab. tangerang|CIKUPA|AHA RELOAD||085921261200|cikupa
MOZA CELL|087885782438|JL.RAYA KRESEK TANJAKAN RT 05/04 KEL.PALA,SPNG MAKM PATTRSNA,PERMANEN,TANGERANG|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
BLJ-VCELL|087880294051|JL.RAYA SERANG,NA,TANGERANG|BALARAJA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
ATO CELL|087880291741|,,|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
BLJ1-NDRU CELL|087880291718|J.RAYA KRESEK PS.SINTIONG NO.A5 ,,tangerang|BALARAJA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM-SALFA CELL|087880276710|JL.RAYA KRESEK,TANJAKAN RT 05/02,DPN MASJID CIBULAN,PERMANEN,kab. tangerang|RAJEG|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM-OPIK CELL|087880173810|KP.PEUTEUY RT003/01 DESA TOBAT KEL.TOBAT,PERMANEN,TANGERANG|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
BLJ1-SINARPHONE CELL|087880173774|JL.RY KRESEK KP. KEDAUNG RT 01/01,PERMANEN,TANGERANG|RAJEG|AHMAD HUMAEDI|087774400405|085921261415|cikupa
BLJ1-TAMI CELL|087880173772|PS. SENTIONG RT 03/04 SAGA ,PERMANEN,TANGERANG|BALARAJA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM-DIAN CELL|087880173653|JLN. RAYA KP. BOLANG RT 04/03 KEC. SUKAMULYA,PERMANEN,TANGERANG|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM-PANJIN CELL|087878632609|JL.RAYA KRESEK PERUM.TAMAN BALARAJA A7 NO.39,PERMANEN,TANGERANG|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM-RIDHO CELL|087878305417|,,|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
YUSUF CELL|087878305409|,,|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM-ONLINE CELL|087877007221|JL RAYA KRONJO PASAR CEPLAK,PERMANENT,kab. tangerang|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM-NURDIN CELL|087815870499|sepatan,,TANGERANG|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM-LULU CELL|087815870497|kp cidahu kopo,,TANGERANG|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
PION CELL|087815870496|kp kresek,,TANGERANG|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
RORO CELL|087785473742|DS KELAPA DUA. RT005/RW001.KEC KELAPA DU,,TANGERANG|RAJEG|AHMAD HUMAEDI|087774400405|085921261415|cikupa
ROHMAH CELL|087785473624|KOMP.BMW S1 B6.NO.07 DS.MAJABARU KEC.MAJ,,TANGERANG|RAJEG|AHMAD HUMAEDI|087774400405|085921261415|cikupa
ROS CELL JYT|087785471055|kp.selapajang ds cisoka,,TANGERANG|RAJEG|AHMAD HUMAEDI|087774400405|085921261415|cikupa
JURAGAN 2 CELL|087785471047|LEGOK,,TANGERANG|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
RIA CELL|087785471038|TANGERANG,,TANGERANG|RAJEG|AHMAD HUMAEDI|087774400405|085921261415|cikupa
ROBOCOP|087785471031|KP CARANGPULANG,,TANGERANG|RAJEG|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM-ALWIN CELL|087771586323|KP. BUNI AYU RT 01/01 KEC. SUKAMULYA,PERMANENT ,kab. tangerang|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM-LARAS CELL|087771586291|JL. RAYA KERESK MERAK RT 02/01,PERMAENNT ,TANGERANG|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM-WAHYU CEL|087771583259|KP.Pasir RT 005/002,PERMANENT,TANGERANG|RAJEG|AHMAD HUMAEDI|087774400405|085921261415|cikupa
BLJ1-JOFAN CELL|087771583211|KP. SAGA RT 02/02 BALARAJA ,MEDIUM ,kab. tangerang|BALARAJA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM-OBET CELL|087771583184|JL. KRESEK KP. PANAMENG RT 01/02,PERMAENNT,TANGERANG|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM-WIDI CELL|087771583154|KP. BUAH DS. KALI ASIN RT 02/01 KEC. SUKAMULYA ,PERMANENT ,kab. tangerang|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
LENTERA CELL|087771583143|BANYU ASIH RT 01/02,PERMANENT ,kab. tangerang|BALARAJA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM-AFTA CELL|087771583135|JL. RAYA MERAK BEND ART 02/03 KEC. SUKAMULYA,PERMANENT ,TANGERANG|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM-EDOK CELL|087771583133|JL. RAYA MERAK KP. BENDA RT 02/01,PERMANENT ,TANGERANG|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
BLJ1-RAFFI CELL|087771561755|KP. CANGKOK RT 04/02 SENTUL ,PERMANEN ,kab. tangerang|BALARAJA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM-FUJI CELL|087771561251|DS. SUKAMULYA RT 06/01 SUKAMULYA,PERMANEN,TANGERANG|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
DAWANG CELL|087771561243|JL. RAYA PASAR SENTIONG SAMPING ALFA MART ,PERMANEN ,kab. tangerang|BALARAJA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM-BAGUS CELL|087771465890|TAMAN BALARAJA BLOK C3 NO.03 RT 06/03 KEL.PERAHU,PERMANEN,TANGERANG|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
BLJ1-ICA CELL|087771460434|JL. RAYA KRESEK KM. 3 BALARAJA ,PERMANENT,kab. tangerang|BALARAJA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SAGA PHONE|087771250500|JL.RAYA KRESEK PS.SENTIONG NO.17,NA,kab. tangerang|BALARAJA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM_HIBSI CELL|087771250467|JL.RAYA PERAHU DESA TOBAT NO.17 KEL.TOBAT,NA,TANGERANG|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
BLJ_INDAH CELL|087771250462|JL.RAYA KRESEK PERUM.VILLA BALARAJA A7 RT 10/04,NA,kab. tangerang|BALARAJA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
ZAKIYA CELL|087771250168|JL. RAYA KRESEK RT001/05 DS TOBAT SAMPING PS SENTIONG,PERMANEN,kab. tangerang|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SAMBO CELL|087771010861|JL. RAYA KRESEK PASAR CEPLAK  KEC SUKAMULYA,PERMANENT,kab. tangerang|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM_ANGGA CELL|085921263580|,,|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
TINI RELOAD|085921263476|KP RANCA WIRU 007/004 DS.KEMUNING KC KRESEK,,kab. tangerang|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM-YANTO CELL|085921263448|,,|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM-SEMUT CELL|085921263435|,,|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM-FARHAN CELL|085921263400|,,|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
JOIN CELL|085921263301|,,|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
MISJA CELL|085921263206|,,|RAJEG|AHMAD HUMAEDI|087774400405|085921261415|cikupa
TINI 2 CELL|085921263160|,,|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
JURAGAN 3 CELL|085921261250|,,|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
BLJ1-DIAN CELL|085921260275|,,|BALARAJA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
SKM-POIN CELL|085920072190|,,|SUKAMULYA|AHMAD HUMAEDI|087774400405|085921261415|cikupa
